               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.03024,            0.013039,            0.025341,             0.78344,             0.44289,             0.45447,             0.30408,            0.028406,            0.017603,            0.026915,           0.0082675,           0.0082675,           0.0082675
                  37,            0.029259,            0.011943,            0.023925,              0.7608,             0.48135,             0.47048,             0.30462,            0.027637,             0.01658,            0.025898,            0.008218,            0.008218,            0.008218
                  38,            0.029306,             0.01296,            0.024724,             0.80502,             0.45286,             0.50716,             0.29836,              0.0297,             0.01795,            0.025742,           0.0081685,           0.0081685,           0.0081685
                  39,            0.032885,             0.01314,            0.023795,             0.86509,              0.4366,             0.50341,             0.31816,            0.029419,            0.018187,            0.025561,            0.008119,            0.008119,            0.008119
                  40,             0.03119,            0.012464,             0.02429,             0.84745,             0.44232,             0.46407,             0.30965,            0.027984,            0.018186,            0.025575,           0.0080695,           0.0080695,           0.0080695
                  41,            0.030016,            0.012992,            0.024132,             0.86208,             0.45081,             0.46702,             0.28352,            0.028166,            0.017297,            0.025191,             0.00802,             0.00802,             0.00802
                  42,              0.0292,            0.013207,             0.02324,             0.83808,             0.47022,             0.48301,             0.30839,             0.02636,            0.016362,            0.025111,           0.0079705,           0.0079705,           0.0079705
                  43,            0.030941,            0.012698,            0.023167,             0.88361,             0.43879,             0.51965,             0.31461,            0.029714,            0.016543,            0.024564,            0.007921,            0.007921,            0.007921
                  44,            0.029311,            0.013055,            0.022267,             0.88645,              0.4312,             0.52868,             0.33656,            0.028392,               0.017,            0.024166,           0.0078715,           0.0078715,           0.0078715
                  45,            0.029335,            0.012404,            0.023026,             0.89204,             0.44388,             0.53684,             0.35339,            0.027641,            0.016914,            0.023872,            0.007822,            0.007822,            0.007822
                  46,            0.029727,            0.012429,            0.022559,             0.90582,             0.45226,             0.54885,             0.34485,            0.027265,            0.016116,            0.023209,           0.0077725,           0.0077725,           0.0077725
                  47,            0.028744,            0.012351,            0.020851,             0.90438,             0.46361,             0.54741,             0.35387,            0.029824,            0.017366,            0.023086,            0.007723,            0.007723,            0.007723
                  48,            0.027731,            0.012186,            0.020265,             0.86224,             0.47467,             0.54118,             0.33247,            0.030287,            0.017639,            0.022661,           0.0076735,           0.0076735,           0.0076735
                  49,            0.028704,            0.012491,            0.020806,             0.86898,             0.44735,             0.54227,             0.34502,            0.027546,            0.018033,            0.022497,            0.007624,            0.007624,            0.007624
                  50,            0.029487,            0.012454,            0.020449,             0.86585,              0.4685,             0.51393,             0.33125,            0.027205,            0.017464,            0.022781,           0.0075745,           0.0075745,           0.0075745
                  51,            0.029781,            0.012559,            0.020082,             0.88233,             0.47406,             0.54345,              0.3462,            0.026934,            0.017024,            0.021419,            0.007525,            0.007525,            0.007525
                  52,            0.026766,            0.011754,            0.019623,             0.89214,             0.48901,             0.56566,             0.37209,            0.026979,            0.016079,            0.020794,           0.0074755,           0.0074755,           0.0074755
                  53,            0.028838,            0.012532,            0.018848,             0.91066,             0.49911,             0.58665,             0.38248,            0.027732,            0.016337,            0.020778,            0.007426,            0.007426,            0.007426
                  54,            0.029453,            0.012051,            0.018644,             0.90397,             0.50149,             0.56432,             0.34502,            0.027506,            0.017304,            0.020291,           0.0073765,           0.0073765,           0.0073765
                  55,            0.027406,            0.011939,            0.018476,             0.91916,             0.47007,              0.5533,              0.3682,            0.027665,            0.017403,            0.020167,            0.007327,            0.007327,            0.007327
                  56,            0.027426,            0.012024,            0.018508,             0.91327,             0.49448,             0.56376,             0.37609,             0.02582,            0.016063,            0.019845,           0.0072775,           0.0072775,           0.0072775
                  57,            0.028252,            0.011554,            0.017896,             0.90898,             0.49256,             0.56349,             0.35232,            0.026901,            0.017028,            0.020157,            0.007228,            0.007228,            0.007228
                  58,            0.029972,            0.012495,             0.01745,             0.93993,               0.495,             0.58194,             0.36803,            0.027457,            0.016612,             0.01975,           0.0071785,           0.0071785,           0.0071785
                  59,             0.02855,            0.012077,            0.017327,             0.91959,              0.4626,             0.56061,             0.36108,            0.025816,            0.016619,            0.019899,            0.007129,            0.007129,            0.007129
                  60,            0.027267,            0.011835,            0.016285,             0.92647,             0.49072,             0.57301,             0.34285,            0.029961,            0.017049,            0.019207,           0.0070795,           0.0070795,           0.0070795
                  61,            0.026772,            0.011931,            0.016252,             0.91952,             0.50049,             0.57627,             0.36108,            0.027562,            0.016983,            0.018395,             0.00703,             0.00703,             0.00703
                  62,            0.028065,            0.011511,            0.016551,             0.94373,             0.48176,             0.57713,             0.36403,             0.02832,             0.01793,            0.017897,           0.0069805,           0.0069805,           0.0069805
                  63,            0.028928,            0.012698,            0.016559,             0.90939,             0.49276,             0.58464,             0.38151,            0.027705,            0.016743,            0.018805,            0.006931,            0.006931,            0.006931
                  64,            0.027007,            0.011512,            0.015552,             0.89963,             0.50347,             0.60507,             0.40394,            0.025831,            0.016605,            0.018116,           0.0068815,           0.0068815,           0.0068815
                  65,            0.026791,             0.01178,            0.014687,             0.86186,             0.53619,             0.60853,             0.38712,            0.027294,            0.016963,            0.018474,            0.006832,            0.006832,            0.006832
                  66,            0.028857,            0.012334,            0.014832,             0.86116,             0.54441,             0.62375,             0.39214,            0.026943,            0.017456,            0.017576,           0.0067825,           0.0067825,           0.0067825
                  67,            0.027355,            0.011906,            0.015217,             0.91242,             0.48742,             0.59658,             0.39655,            0.027891,            0.017599,            0.017814,            0.006733,            0.006733,            0.006733
                  68,             0.02694,            0.011682,            0.014813,             0.92707,             0.48725,             0.60211,             0.37973,            0.027473,            0.017013,             0.01736,           0.0066835,           0.0066835,           0.0066835
                  69,            0.026299,            0.010937,            0.014251,             0.91824,             0.49755,             0.60343,             0.36071,            0.028181,            0.017434,            0.016926,            0.006634,            0.006634,            0.006634
                  70,            0.027216,            0.011533,            0.014155,             0.91867,             0.49283,             0.61449,             0.40657,            0.026873,            0.016932,            0.016827,           0.0065845,           0.0065845,           0.0065845
                  71,            0.026793,            0.011247,            0.014981,             0.74155,             0.57957,             0.61733,             0.39773,            0.026572,            0.016952,            0.017203,            0.006535,            0.006535,            0.006535
                  72,             0.02554,            0.011037,            0.014293,             0.92924,             0.49208,             0.62865,             0.42156,            0.026292,            0.017032,            0.016465,           0.0064855,           0.0064855,           0.0064855
                  73,            0.026202,            0.011549,            0.013765,             0.92414,             0.49025,             0.63137,             0.41622,            0.026265,            0.016933,             0.01634,            0.006436,            0.006436,            0.006436
                  74,            0.025571,            0.011262,            0.013121,             0.72713,             0.60923,             0.63325,             0.42902,             0.02646,            0.017211,            0.017166,           0.0063865,           0.0063865,           0.0063865
                  75,            0.026616,            0.010996,            0.012824,             0.77562,             0.59511,             0.63632,             0.43285,            0.027412,            0.017347,            0.017071,            0.006337,            0.006337,            0.006337
                  76,             0.02463,            0.011515,            0.014127,             0.75742,              0.5887,             0.64617,             0.42949,            0.025761,            0.017829,            0.016666,           0.0062875,           0.0062875,           0.0062875
                  77,            0.024589,            0.010824,            0.013005,             0.74118,             0.65193,             0.65469,             0.43453,            0.026333,            0.017354,            0.016189,            0.006238,            0.006238,            0.006238
                  78,            0.027156,             0.01062,            0.013654,             0.77218,             0.61194,             0.63357,             0.41528,            0.028081,            0.017085,            0.016248,           0.0061885,           0.0061885,           0.0061885
                  79,            0.026426,            0.011535,            0.013342,             0.80336,             0.61997,             0.64672,             0.44504,            0.025987,            0.016774,            0.016886,            0.006139,            0.006139,            0.006139
                  80,            0.025886,            0.011473,            0.012523,             0.80453,             0.58936,             0.65984,             0.43741,            0.026916,            0.016906,            0.016031,           0.0060895,           0.0060895,           0.0060895
                  81,            0.024621,            0.011385,            0.012764,             0.75085,             0.62166,              0.6459,             0.43154,            0.027221,            0.017458,            0.015831,             0.00604,             0.00604,             0.00604
                  82,            0.025988,            0.011056,            0.011988,             0.81545,             0.61156,             0.65256,             0.44207,            0.026792,            0.017585,            0.015547,           0.0059905,           0.0059905,           0.0059905
                  83,            0.026436,            0.010935,            0.012535,             0.78905,             0.60459,             0.64637,             0.42405,            0.028056,            0.017757,            0.015945,            0.005941,            0.005941,            0.005941
                  84,            0.024221,            0.010705,            0.012422,              0.7665,             0.62099,             0.64188,             0.44139,            0.026779,            0.017552,            0.015553,           0.0058915,           0.0058915,           0.0058915
                  85,            0.025734,            0.011784,            0.011776,             0.73305,              0.6501,             0.64915,             0.41632,            0.027794,            0.017415,            0.015528,            0.005842,            0.005842,            0.005842
                  86,            0.025912,            0.011087,              0.0121,             0.78524,             0.61193,             0.62545,             0.42315,            0.026673,            0.018713,            0.015945,           0.0057925,           0.0057925,           0.0057925
                  87,            0.024101,            0.010835,            0.011419,             0.77341,             0.60051,             0.62214,             0.40986,            0.026199,            0.018352,            0.016183,            0.005743,            0.005743,            0.005743
                  88,            0.024896,            0.010708,            0.011319,             0.83214,             0.58943,             0.62533,             0.43076,            0.027592,            0.018356,            0.016673,           0.0056935,           0.0056935,           0.0056935
                  89,            0.024244,            0.011489,            0.011816,             0.83463,             0.64165,             0.64754,             0.43843,            0.025979,            0.017851,            0.015217,            0.005644,            0.005644,            0.005644
                  90,            0.023803,            0.010792,            0.011349,             0.84171,             0.62323,             0.64885,             0.42398,             0.02762,            0.017725,            0.015065,           0.0055945,           0.0055945,           0.0055945
                  91,            0.024846,            0.011087,            0.011243,              0.8052,             0.64042,             0.65618,             0.43595,            0.026625,             0.01773,            0.014838,            0.005545,            0.005545,            0.005545
